title,author,issue,DE-640
Der Ehrliche ist der Dumme,"Wickert, Ulrich",Ungekürzte Taschenbuchausg.,[]
Moral dilemmas and ethical reasoning,"Harding, Carol Gibb",1. Transaction paperback print.,[]
Music in everyday life,"DeNora, Tia",9. print.,[]
Stress bewältigen mit Achtsamkeit,"Lehrhaupt, Linda Myoki",8. aktualisierte und überarbeitete Auflage,[]
La  tapisserie de Bayeux,"Pivard, Gilles",0,[]
Les navires de la conquête,"Ridel, Élisabeth",0,[]
Mini Maestro,"Heumann, Hans-Günter",0,[]
Mini Maestro,"Heumann, Hans-Günter",0,[]
Mini Maestro,"Heumann, Hans-Günter",0,[]
Diercke-Grundschulatlas,"Elbert, Martina","Bayern, 1. Aufl., Dr. A",[]
Die Welle,"Fenske, Ute",1. Aufl.,[]
Insights into non-native vocabulary teaching and learning,"Chacón-Beltrán, Rubén",0,[]
The Jukebox in the garden,"Ingram, David",0,[]
"Johann Wolfgang Goethe, Iphigenie auf Tauris","Schurf, Bernd",1. Auflage,[]
Langenscheidt Handwörterbuch Spanisch,"Haensch, Günther","Neubearbeitung 2010, 1. Auflage, [Nachdruck] 2019",[]
Fleishman-Job-Analyse-System für eigenschaftsbezogene Anforderungsanalysen,"Kleinmann, Martin",0,[]
Jetzt!,"Tolle, Eckhart","Limitierte Jubiläumsausg., Sonderausg., 1. Aufl.",[]
Habitus in habitat,"Flach, Sabine",1. ed.,[]
Die Fermi-Box,"Büchter, Andreas",1. Auflage,[]
Prof. Dr. G. Rübel Fit im Kopfrechnen - Null Problemo,"Eppenstein, Gisela",3. unveränderte Auflage,[]
Ich bin dann mal schlank,"Heizmann, Patric",2. Aufl.,[]
Unterwegs auf dem Bauernhof,"Neubacher-Fesser, Monika",[Nachdr.],[]
Sachunterricht und frühe Bildung,"Fischer, Hans-Joachim",0,[]
Im Streichelzoo,"Möller, Anne",0,[]
Was letztlich zählt - Eschatologie,"Englert, Rudolf",0,[]
Faszination Glasperlen,"Juricic, Iva",0,[]
Pilot,"Atay, Mete",0,[]
Joseph Roth in Berlin,"Roth, Joseph",1. Aufl.,[]
Bewegt und selbstsicher,"Lienert, Sonja",1. Aufl.,[]
"Berthold Brecht, Die Dreigroschenoper","Wöhrle, Dieter",0,[]
Mein erstes Wimmelbuch - im Wald,"Henkel, Christine",0,[]
Liebe und Eigenständigkeit,"Kohn, Alfie",1. Aufl.,[]
Loci praecipui theologici,"Melanchthon, Philipp",Editionem Lipsiensem a. MDLIX,[]
Projekt G,0,1. Aufl.,[]
"Wenn ich will, hör ich auf","Färber, Werner",Orig.-Ausg.,[]
"Ich trainiere Badminton [Trainiere deine Technik. Verbessere Ausdauer, Kraft und Schnelligkeit. Interview mit Juliane Schenk]","Barth, Katrin",1. Aufl.,[]
Oskar,0,1. Aufl.,[]
Die Auer-Fibel,0,"Baden-Württemberg, 1. Aufl.",[]
Paule ist ein Glücksgriff,"Boie, Kirsten",0,[]
Teaching critical thinking,"hooks, bell",0,[]
