title|author|issue|DE-640|signature
Hochbegabung|Bergsmann, Roswitha|0|[]|Psy G 310: 96
Gerecht beurteilen|Brunner, Ilse|1. Aufl|[]|Paed K 520: 51
Bilingualer Unterricht Gemeinschaftskunde - Englisch|Hoffknecht, Volker|0|[]|HD 245 H698
Die Europahymne|Beethoven, Ludwig van|1. Aufl., Instrumentalsätze und Stimmen|[]|LP 63204 B415
Duden-Abiturhilfen|Klinger, Roland|2., aktualis. Aufl.|[]|Bio A 350: 60
Bewusst sein im Körper|Bartussek, Walter|0|[]|Psy D 40: 64
Betrifft Mensch und Umwelt|Class, Karin|0|[]|ZE 70000 B564 M5 A -9/10
Betrifft Mensch und Umwelt|0|0|[]|ZE 70000 B564 M5 AL -9/10
"""Wie eine zweite Haut"""|Nischwitz, Peggi|1. Aufl.|[]|LH 69080 N724
"""Halt's Maul, du dumme Sau!"""|Miller, Reinhold|2. Aufl.|[]|Psy L 700: 78
Physik - ein systemdynamischer Zugang für die Sekundarstufe II|Borer, Thomas|0|[]|Phy D 100: 92
Materialien-Handbuch Englisch|Kroner, Bernd|0|[]|HD 166 B817 -8
SERIS und das Konzept der wahrnehmungszentrierten Schulentwicklung|Sacher, Werner|0|[]|MA 14/2437
Verstehen, Beobachten und gezieltes Fördern von LRS-Schülern|Kleinmann, Klaus|2., verb. und überarb. Aufl.|[]|Psy G 610: 167 a
Artenschutz in Unterrichtsbeispielen|Hintermeier, Helmut|1. Aufl.|[]|Bio F 630: 317 ,2
Das Hirschgraben-Lesebuch|0|1. Aufl.|[]|GB 3000 II H669 -8(N)
Effizienz von Projektunterricht|Bieberbach, Monika|Als Ms. gedr.|[]|Paed H 630: 56
Lernexpeditionen|Brunsting-Müller, Monika|0|[]|Psy B 230: 23
Kindergartens and cultures|Wollons, Roberta Lyn|0|[]|Paed G 590: 41
Bei den Buchen mußt du suchen|Baum, Heike|0|[]|Paed B 980: 185 a
Grammar for English language teachers|Parrott, Martin|0|[]|HD 196 P263
Kreuzworträtselsammlung Geschichte|Bayerl, Hans|1. Aufl.|[]|NB 8500 B357 -2
Rätsel im Französischunterricht|Beckmann, Heiko|0|[]|ID 1536 B397
Die Vielfalt orchestrieren|0|0|[]|Paed L 100: 138
Schule im Spiegel der Pädagogik Paulo Freires|Dabisch, Joachim|0|[]|Paed E 950: 65 ,2
Ein E-Mail-Projekt zur Landeskunde USA|Kahle, Nadja Nicole|0|[]|HD 180 K12
Jonglierbuch für Schulen|Ebert, Matthias|1. Aufl., nach der Neuregelung d. dt. Rechtschreibung|[]|Spo D 500: 12
Spielend lernen|Burkhard, Heike|1. Aufl.|[]|Paed H 540: 67
Musiklexikon für Kinder|Heumann, Monika|0|[]|ED 5430 H593 M9
Die Beziehung von Mensch und Natur als Thema der Lehrerfortbildung|Held, Armin|0|[]|Bio F 80: 4 a
Aktuelle Kompetenz von Lehramtsstudierenden zu offenen Lern- und Organisationsformen|Kleber, Edith|0|[]|Paed S 200: 95
Die Dramaturgie reflexiven Lernens|Neubert, Hansjörg|0|[]|Psy B 220: 25
Stadtkinder und Naturerleben|Schwegler-Beisheim, Tabea|0|[]|Bio F 630: 387 a
Der Überzeugungseffekt im logischen Denken Jugendlicher|Ziegler, Albert|0|[]|Psy C 260: 39
Schulische Gesundheitserziehung und Gesundheitsförderung|Ettischer, Heike|0|[]|Bio F 800: 304 c
Lebenswelt Tiere an Land, im Wasser und in der Luft|Dulitz, Barbara|0|[]|Bio F 600: 115
Langenscheidt Verb-Tabellen Deutsch|Thurmair, Maria|0|[]|GB 3046 T539 L2
Spüren - Bewegen - Lernen|Zinke-Wolter, Petra|4., völlig überarb. Aufl.|[]|Paed T 350: 38 a
Der Teich - im fächerübergreifenden Unterricht|Groß, Christine|1. Aufl., Dr. 1|[]|Bio F 600: 107
Spiele, die verbinden|0|0|[]|Paed B 980: 189 ,1
Spiele, die verbinden|0|0|[]|Paed B 980: 189 ,2
Mehrheiten und Minderheiten|Mavrodieva, Ljubov|0|[]|GB 3058 M682 -6
Lernen an Stationen in der Sekundarstufe I|Diehl, Reiner|0|[]|HD 305 I D559
The school of tomorrow|White, Roger Crombie|1. publ.|[]|DI 4004 W587
music-and-sound.de|Eßer, Torsten|0|[]|MA 17/845
Englischspiele für die Grundschule|Bartl, Almuth|1. Aufl.|[]|HD 162 B289
Selbstwert stärken - Gesundheit fördern|0|1. Aufl.|[]|Bio F 800: 316 ,1/2 a
Partner für eine bewegte Kindheit|Peiffer, Lorenz|0|[]|Spo B 190: 14
Kreativer Kunstunterricht in der Grundschule|Kiesel, Manfred|1. Aufl.|[]|LH 61290 K47 G8
Abschlussprüfung Deutsch|Brosi, Annette|1. Aufl.|[]|MB 11/248
Gewaltige Erde|Clifford, Nick|[Nachdr.]|[]|ED 5430 C638
Gesellschaftlicher Umbruch und Schulreform|Adam, Christine|0|[]|Paed L 100: 143
Anregungen für den Kunstunterricht|Kiesel, Manfred|0|[]|LH 61290 K47 A6 -7/8
Kurs auf Genderkompetenz|Baur, Esther|0|[]|Paed P 250: 109
Herkunftssprache - Zielsprache|Rieder, Karl|0|[]|Paed W 360: 74
Märchenzeit|Bartoniček, Nina|0|[]|GB 2922 B293
Kochen in der Schulküche für Anfänger|Arzberger, Helena|2. überarb. Aufl.|[]|ZE 70000 A797 (2)
The English question|Chen, Selina|1. publ.|[]|MG 42086 C518
Gesunder Rücken ohne Krücken|Angerer-Kraus, Christine|1. Aufl.|[]|Spo A 820: 149
Jugendliche am Anfang der Berufsausbildung|Gillitzer, Sabine|0|[]|Paed O 150: 120
Materialien zur Umweltbildung|Hilbert, Eike|2. Aufl.|[]|Bio F 630: 386
Impulse für die Berufsbildung|0|0|[]|Paed O 150: 117
Zaubern mit Kindern|Kelber-Bretz, Wilhelm|0|[]|Spo D 500: 24
Erwachsenenbildung im Umbruch|Mazza Moneta, Elisabetta|0|[]|Paed P 80: 111
English Grammar 5/6|Auer, Claudia|1. Aufl|[]|HD 220 A917 -1
Erweiterter Englischunterricht in den Jahrgangsstufen 5 und 6|Bauer, Gotthard|1. Aufl.|[]|HD 245 E73 J2
Erweiterter Englischunterricht in den Jahrgangsstufen 5 und 6|Bauer, Gotthard|1. Aufl.|[]|HD 172 E73
Holunder, Dost und Gänseblümchen ...|Haßkerl, Heide|0|[]|ZE 77500 H355
Spontanes Malen mit Kindern und Jugendlichen in der Sozialarbeit|Tschinkel, Hedwig-Maria|0|[]|Psy L 220: 68
Durstlöscher Wasser aus der Leitung oder Flasche?|Freier, Mechthild|1. Aufl.|[]|ZE 78000 F862
Steven Spielberg: Schindler's List|Schneider, Werner|1. Aufl.|[]|HD 178 S359
P wie Politik|Brandes, Heinz-Werner|0|[]|MB 2552 II P111 -1(N)
P wie Politik|Brandes, Heinz-Werner|0|[]|MB 2552 II P111 -2(N)
Disgrace|Coetzee, J. M.|0|[]|HP 3340 D611
Didaktisches Design hypermedialer Lernumgebungen|Klein, Benedikt|0|[]|Psy B 220: 28
Neue Weihnachtslieder für die Grundschule|Gampe, Carola|1. Aufl.|[]|LS 51290 G194
Schwerpunkt: (Kindlicher) Fremdsprachenerwerb|Krumm, Hans-Jürgen|0|[]|GB 3010 K94 T3
Endlich wieder Spaß am Lesen|Uretschläger, Brigitte|1. Aufl.|[]|GB 2958 U75
Sticken mit der Nähmaschine|Giesser, Claudia|0|[]|ZS 6250 G455
Handbuch für den Mathematikunterricht|0|[Nachdr.].|[]|MB 14/381,3
Magersucht|Wollenschläger, Esther|0|[]|Psy K 330: 63
Lebenswelt Mensch|Dulitz, Barbara|0|[]|Bio F 800: 320
Grundschulen zeigen ihr Profil|Heinzel, Friederike|1. Aufl|[]|Paed L 130: 34
Schulpartnerschaften|Parzer, Sylvia|1. Aufl.|[]|Paed L 640: 56
Theaterspiele|Johnstone, Keith|3. Aufl.|[]|AP 73200 J73 (3)
Entspannungstraining mit Yogaelementen in der Schule|Stück, Marcus|1. Aufl.|[]|Psy L 590: 62 L
Learning English - Red line new|0|1. Aufl., [Dr.] A.|[]|MA 16/264
Das -Projekt|Schroeder, Peter W.|1. Aufl.|[]|ED 5430 S381 P9
Selbst-Wert-Gefühl|Dalgleish, Tanya|0|[]|Paed M 150: 111 ,5/6
Heilen und Heilung im Spiegel einer heilenden Pädagogik|Wilkens, Renate|0|[]|Paed T 130: 65
Das große Styling-Buch|Schüch-Schamburek, Irmie|0|[]|ZE 85500 S385
Chemie - rund um die Nährstoffe|Pietzsch, Andreas|1. Aufl.|[]|Che G 360: 88
Mein heiß geliebter Teddybär|Merrett, Alicia|0|[]|LH 79270 M568
Wortstark|0|[Nachdr.].|[]|GB 2980 II W935 -10
Schule im Gespräch|Miller, Reinhold|2. Aufl.|[]|Paed B 300: 108
Dreaming in color, living in black and white|Holliday, Laurel|1. print., abridged young readers ed.|[]|MG 70968 H739
Twentieth-century Irish drama|Murray, Christopher|1. Syracuse University Press ed|[]|HG 570 M981
Meins und deins|Geißler, Peter|0|[]|ED 5540 G313
Lernchancen im Kunstunterricht|Wichelhaus, Barbara|0|[]|LH 61220 W633
Was kommt auf uns zu?|Bucher, Anton A.|1. Aufl.|[]|Paed A 20: 80
Am Anfang steht ein Blick zum Mond|Behr, Reinhart|1. Aufl|[]|Phy B 180: 150
Teacher education|Johnson, Karen E.|0|[]|HD 158 J67
Kinder- und Jugendtheater in Österreich|Schneider, Wolfgang|1. Aufl.|[]|AP 69250 S359 O29
Wirtschaften im Haushalt|0|0|[]|QB 333 II H376 -1
Wirtschaften im Alltag|0|0|[]|QB 333 II W841 -1
Language learning strategies around the world|Oxford, Rebecca L.|[Repr.]|[]|ES 780 O98
Lernen unter Wasser|Lesch, Ernst-Rainer|0|[]|Spo C 620: 108
This sceptred isle|Lee, Christopher|1. publ., repr.|[]|HD 400 L477
Bildung oder Ausbildung?|Achs, Oskar|1. Aufl.|[]|Paed A 20: 81
Kunst-Stücke|0|1. Aufl., 4. [Dr.]|[]|LH 61290 E86 L -3
Geometrie|Seyler, Karl-Hans|0|[]|Math N 450: 166
Lernwerkstatt So war es früher|Gröting, Anja|1. Aufl.|[]|0
Das Schlagzeug in der Socke|Bromm, Michael|1. Aufl.|[]|LR 56985 B868 S3
Bildungsmarketing|Goetze, Walter|1. Aufl.|[]|Paed L 100: 152
Abschlussprüfung Deutsch|0|1.Aufl.|[]|GB 2950 A164
Ballspielen|Medler, Michael|2. Aufl.|[]|Spo C 300: 51
Class in Britain|Cannadine, David|0|[]|MS 1212 C224
Geowissenschaftliche Erziehung im Schullandheim|Pfriem, Peter|0|[]|MA 22/16
Abraham, Moses & Co.|Sanders, Nancy I.|0|[]|BU 4900 S215
Wie interpretiere ich Lyrik?|Brand, Thomas|1. Aufl.|[]|GB 2976 W642 -2
Alfred Andersch, Fahrerflucht|Diekhans, Johannes|1. Dr.|[]|GN 2726 D559
Handreichung zur Mobilitäts- und Verkehrserziehung|Burchert, Frank|1. Aufl.|[]|Paed M 520: 12
Textilarbeit Schritt für Schritt|Schlieper, Cornelia A.|2.. überarb. Aufl.|[]|ZS 5700 S344 (2)
Unterrichtsqualität an Schweizer Schulen|Bessoth, Richard|1. Aufl.|[]|0
Von der Wiege bis zur Bahre|Schwarz, Juergen|2. Aufl.|[]|Phil T 700: 37
The Allyn and Bacon guide to Writing Center|Barnett, Robert W.|0|[]|HD 206 B261
Der Islam|Mancini, Roberto|0|[]|0
Deutsch als Fremdsprache|Šaverdašvili, Ekaterine|0|[]|GB 3016 Z99
Reportage Scotland|Yeoman, Louise|1. ed.|[]|NK 2100 Y46
Scotland|Maclean, Fitzroy|2., rev. and updated ed.|[]|NK 2100 M163 (2)
Exkursion Grimsel und Oberhasli|Eugster, Werner|0|[]|RK 45915 E87
Teaching integrated arts in the primary school|Bloomfield, Anne|Repr.|[]|Paed M 80: 1
Tasks for language teachers|Parrott, Martin|6. pr.|[]|HD 158 P263
Langenscheidts Schulwörterbuch Englisch|Freese, Holger|3. Aufl.|[]|HE 308 F857 (3)
"Literatur-Kartei zum Roman von Benjamin Lebert ""Crazy"""|Amelung, Irmgard|0|[]|GB 2976 A499
Neue Wege in der Kommunalpolitik|Glück, Alois|1. Aufl.|[]|MG 16980 G567
Rundstricken|Iyer, Chandrasekhar|2., erw. Aufl.|[]|ZS 6200 I97 (2)
