title|author|issue|DE-640|signature
Begabungs- und Begabtenförderung|Ganglmair, Peter|0|[]|Psy G 310: 99
Diskothek / Süddeutsche Zeitung|0|0|[]|CD 06/31 ,2002
The use of instructional technology in schools|Lee, Mal|1. publ.|[]|Paed M 630: 133
Les 50 règles d'or de la grammaire|Berlion, Daniel|Éd. 01|[]|ID 1548 B515
First choice A|0|1. Aufl., 1. Dr.|[]|HD 220 III C545 A -2
Erzählen und Entdecken|Fastenmeier, Catharina|0|[]|ER 920 B821
Raum & Stoff|Norval-Kruger, Liezel|0|[]|ZH 8630 N891
Erfolg in der Schule|Schoenaker, Theo|Orig.-Ausg., 2., korrigierte und erw. Aufl.|[]|Psy G 400: 77
Language and culture pedagogy|Risager, Karen|0|[]|ES 110 R595
Lesson study|Fernandez, Clea|0|[]|Math N 900: 11
"Platons ""Phaidon"""|Frede, Dorothea|Sonderausgabe|[]|Phil G 250: 44
Informationsangebote für Studierende aus Ostmitteleuropa an der Gasthochschule|Früh, Karl|0|[]|Dipl 1713
Diercke-Weltatlas|0|0|[]|RB 10226 D563 W4
Materialien für einen projektorientierten Mathematik- und Informatikunterricht|Greefrath, Gilbert|0|[]|Math N 340: 57 ,7
Bausteine Lesebuch|0|0|[]|GB 3000 I D235 -4
Clinical reasoning in the health professions|Higgs, Joy|3. ed.|[]|XC 5900 H637 (3)
Werke|Proust, Marcel|2. Aufl.|[]|IH 74360 W488 -3(2)
Encyclopedia of mathematics education|Grinstein, Louise S.|0|[]|Math N 2: 6
Tannhäuser und der Sängerkrieg auf Wartburg|Wagner, Richard|7. Aufl.|[]|LP 66484 T167 (6)
Starting science|0|repr. with revisions - 2002.|[]|HD 245 F841 -1
Howl, Kaddish and other poems|Ginsberg, Allen|Joint ed.|[]|HU 3703 H864
Theaterstücke Zugänge - Einstiege|0|0|[]|GB 3008 T374
Colour land|Lewis, Anthony|1. Aufl., Dr. A2.|[]|HD 220 I C719 -2
Briefe, die ins Zuchthaus führten|Haase, Baldur|0|[]|NQ 6970 H112
Interkulturelles Spielen und Lernen|Irmer, Marion|0|[]|Paed W 250: 200
Half the sky|Kristof, Nicholas D.|0|[]|MS 8400 K92
Acts of reading|Styles, Morag|0|[]|EC 8301 S938
PISA 2000|Wallner-Paschon, Christina|0|[]|Paed E 100: 144 ,4
Lernpartnerschaften|Achermann, Edwin|2. überarb. Aufl.|[]|Paed R 700: 51
Französisch-Methodik|Krechel, Hans-Ludwig|2. Aufl.|[]|ID 1502 K92 (2)
Resozialisierung|Rottengruber, Birgit|0|[]|Dipl 1537
Thinking with data|Lovett, Marsha C.|0|[]|Psy B 430: 96
