Titel	Werktitel	Verfasser	Verlag	Verlagsort	Erscheinungsjahr	Erscheinungstermin	ISBN	Auflage	Preis	Seiten	Maß	Begleitmaterial	Reihe	Fußnote	Parallele Ausgabe	Hochschulschriftenvermerk	Datenträger	Wochenverzeichnisnummer	DDC-Sachgruppe	Schlagworte	Vollständige DDC-Notation	Inhaltsverzeichnis	Inhaltstext	Links	Desiderat
Vita Nova : Fòrum do futuro	-	-	Bom Dia Boa Tarde Boa Noite UG	Berlin	2021	-	9783943514889	-	(Broschur)	214 Seiten	24 cm	6 Zeichnungen	-	-	-	-	Band	22,A13	700; 000	-	-	https://d-nb.info/1239586280/04	-	-	-
Bezpolezni chrantutnici : prez sledvaštite desetiletija čovečestvoto šte băde drastično namaleno	Nutzlose Esser	Gabriele Šuster-Chazlinger ; perevel ot nemski Georgi Kajtazov	Dilok	Sofija	2021	-	9789542902805	-	(Broschur : EUR 38.00)	347 Seiten	22 cm	-	-	Lizenz des Verlag Amadeus, Lichtenau	-	-	Band	22,A13	000	-	-	https://d-nb.info/1234583887/04	-	-	-
Ausgerechnet die Sieben : von den sieben Bergen bis zum Siebengestirn - eine erstaunliche Faktensammlung	-	Stefan Kaufmann	Akademische Verlagsbuchhandlung Friedrich Mauke KG	Jena	2021	-	9783948259020; 394825902X	[Erstauflage]	(Festeinband : EUR 22.00 (DE), EUR 22.70 (AT), CHF 24.00 (freier Preis))	312 Seiten	21 cm, 460 g	-	-	-	-	-	Band	22,A13; 21,N39	390; 000	Sieben; Zahlensymbolik; Kultur	398.3	https://d-nb.info/1241838623/04	-	-	-
Exercitia S. Catarinae de Manresa : Anorexie und Gottesstaatlichkeit	-	Sophia Eisenhut	Merve Verlag	Leipzig	2021	-	9783962730574; 3962730575	Erstveröffentlichung	(Broschur : EUR 10.00 (DE), EUR 10.30 (AT), CHF 13.30 (freier Preis))	96 Seiten	17 cm, 72 g	-	Merve ; 497	-	-	-	Band	22,A13; 21,N37	000; 300; 230	-	-	-	-	-	-
Zwischen Wahn und Wahrheit : wie Verschwörungstheorien und Fake News die Gesellschaft spalten	-	Michael C. Bauer, Laura Deinzer Hrsg	Springer	Berlin, Germany	2021	-	9783662636404; 3662636409	-	(Broschur : circa EUR 19.99 (DE), circa EUR 20.55 (AT), circa CHF 22.50 (freier Preis), circa EUR 18.68)	XVII, 209 Seiten	21 cm, 252 g	-	Sachbuch; Turmdersinne	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A13; 21,N19	300; 000	COVID-19; Pandemie; Falschmeldung; Gerücht; Verschwörungstheorie; Wissenschaftskommunikation; Gesellschaft; Spaltung	302.24	https://d-nb.info/1232833002/04	http://deposit.dnb.de/cgi-bin/dokserv?id=5060ad80ccfd4d0b88c999f790485ea8&prov=M&dok_var=1&dok_ext=htm	-	-
Reichweiten : Grenzüberschreitung und Partikularisierung	-	herausgegeben von Berndt Hamm, Frank Rexroth und Christine Wulf	De Gruyter Akademie Forschung	Berlin	2021	-	9783110740370; 3110740370	-	(Festeinband : EUR 99.95 (DE), EUR 99.95 (AT))	X, 282 Seiten	25 cm, 643 g	-	Abhandlungen der Akademie der Wissenschaften zu Göttingen ; Band 49, 2	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A13; 21,N18	000	Kulturvermittlung; Kulturaustausch; Rezeption	001.1094309024	https://d-nb.info/1232606375/04	-	-	-
Time management and self-organisation in academia : developing a self-directed and balanced life	Zeitmanagement und Selbstorganisation in der Wissenschaft	Markus Riedenauer, Andrea Tschirf ; Übersetzung und Lektorat: Harold Otto	Facultas	Wien	2021	-	9783825257033; 3825257037	-	UTB : (Broschur : circa EUR 19.00 (DE), circa EUR 19.60 (AT), circa CHF 25.50 (freier Preis))	239 Seiten	22 cm, 355 g	-	UTB ; 5703. Key competences	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A13	650; 000	Wissenschaftler; Zeiteinteilung; Selbstmanagement	650.11	https://d-nb.info/1231091614/04	-	-	-
Einverleibungen : Imaginationen - Praktiken - Machtbeziehungen	-	herausgegeben von Faline Eberling, Eva Paetzold und Maria Schaller	Reimer	Berlin	2021	-	9783496016557; 3496016558	-	(Festeinband : circa EUR 29.90 (DE), circa EUR 30.80 (AT))	254 Seiten	25 cm, 846 g	-	Schriftenreihe der Isa-Lohmann-Siems-Stiftung ; Bd. 14	-	-	-	Band	22,A13; 20,N52	000; 300; 900	-	-	https://d-nb.info/1223789071/04	-	-	-
Reichweiten : Dynamiken und Grenzen kultureller Transferprozesse in Europa, 1400-1520	-	herausgegeben von Nikolaus Henkel, Thomas Noll und Frank Rexroth	De Gruyter Akademie Forschung	Berlin	2020	-	-	-	-	2 Bände	25 cm	-	Abhandlungen der Akademie der Wissenschaften zu Göttingen ; Neue Folge, Band 49	Band 2 herausgegeben von Berndt Hamm [und anderen]	-	-	Band	22,A13	000; 940	-	-	-	-	-	-
Datenbasierte Optimierung des Business Management Systems : Geschäftsprozesse verbessern mit Data Analytics, Industrie 4.0, KI, Chatbots und Co	-	Jürgen Fritz	Hanser	München	2022	-	9783446471313; 3446471316	-	(Festeinband : circa EUR 49.99 (DE), circa EUR 51.40 (AT))	XIII, 290 Seiten	25 cm, 702 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A13; 21,N50	650; 004	Unternehmen; Betriebliches Informationssystem; Prozessmanagement; Prozessoptimierung; Datenmanagement; Datenanalyse	658.500285	https://d-nb.info/1247125939/04	-	-	-
Dein iPhone 13 : iPhone 13 mini, iPhone 13 Pro & iPhone 13 Pro Max : einfach alles können	-	Philip Kiefer	Markt + Technik	Burgthann	2022	-	9783959822855; 3959822855	-	(Broschur : EUR 19.95 (DE), EUR 20.60 (AT))	383 Seiten	23 cm, 300 g	-	-	-	-	-	Band	22,A13; 21,N26	004	iPhone 13	004.1675	https://d-nb.info/1236035070/04	-	-	-
Augmenting collaboration : impact of augmented reality on collaborative problem-solving processes	-	Nina Schiffeler	Apprimus Verlag	Aachen	2021	-	9783863599836; 3863599837	1. Auflage	(Broschur : EUR 39.00 (DE), EUR 40.10 (AT))	XII, 207 Seiten	22 cm, 316 g	-	Edition Wissenschaft Apprimus	-	Erscheint auch als: Online-Ausgabe	Dissertation; Rheinisch-Westfälische Technische Hochschule Aachen2021	Band	22,A13; 21,N27	650; 004	Teamwork; Problemlösen; Innerbetriebliche Kooperation; Erweiterte Realität	658.4022028568	https://d-nb.info/1236479092/04	http://deposit.dnb.de/cgi-bin/dokserv?id=c7f52e105a4040399ec77ffe24206165&prov=M&dok_var=1&dok_ext=htm	-	-
Create content! : Konzeption, Kreation, Content-Management	-	Andreas Berens, Carsten Bolk	Rheinwerk Computing	Bonn	2021	-	9783836280433; 3836280434	1. Auflage	(Broschur : EUR 39.90 (DE), EUR 41.10 (AT), CHF 49.90 (freier Preis))	570 Seiten	23 cm	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A13; 21,N24	650; 004	Online-Marketing; Social Media; Content Management	658.872	https://d-nb.info/1235006204/04	http://deposit.dnb.de/cgi-bin/dokserv?id=e6c4de27cf01453198bcb9697a9ff7a9&prov=M&dok_var=1&dok_ext=htm	-	-
SAP customer experience : Lösungen, Prozesse, Integration	-	Roland Boes	Rheinwerk Publishing	Bonn	2021	-	9783836283878; 3836283875	1. Auflage	(Festeinband : EUR 79.90 (DE), EUR 82.20 (AT), CHF 102.90 (freier Preis))	795 Seiten	25 cm	-	SAP PRESS	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A13; 21,N24	650; 004	Kundenorientierung; Beziehungsmanagement; Anwendungssystem; SAP	658.8120285	https://d-nb.info/1235005666/04	http://deposit.dnb.de/cgi-bin/dokserv?id=bb611ecd38eb4dc8ab0cc2cf81f44e7d&prov=M&dok_var=1&dok_ext=htm	-	-
Trading zones of digital history	-	Max Kemman	De Gruyter Oldenbourg	Berlin	2021	-	9783110681963; 311068196X	-	(Festeinband : EUR 49.95 (DE) (freier Preis), EUR 49.95 (AT) (freier Preis))	VI, 182 Seiten	24 cm, 398 g	-	Studies in digital history and hermeneutics ; volume 1	-	Erscheint auch als: Online-Ausgabe	Dissertation; University of Luxembourg2019	Band	22,A13; 21,N14	900; 004	Geschichtswissenschaft; Digitalisierung; Digital Humanities; Kooperation; Informatik	907.20285	https://d-nb.info/1230634819/04	-	-	-
SAP BW/4HANA : das umfassende Handbuch	-	Marlene Knigge, Ruth Heselhaus	Rheinwerk Publishing	Bonn	2021	-	9783836278546; 3836278545	1. Auflage	(Festeinband : EUR 79.90 (DE), EUR 82.20 (AT), CHF 102.90 (freier Preis))	717 Seiten	25 cm	-	SAP PRESS	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A13; 20,N40	650; 004	SAP BW/4HANA	658.40380285574	https://d-nb.info/1218383852/04	http://deposit.dnb.de/cgi-bin/dokserv?id=9f8bafc8e5d341e7994ec85ef7b197b5&prov=M&dok_var=1&dok_ext=htm	-	-
IBN : Corpus alphabeticum : Sectio generalis : Quintus Caecilius usque ad Raimondi, Gianni	-	-	Dietrich-Verlag	Osnabrück	2021	-	9783867710008; 9783867712637	-	Zeller : (Gewebe);  : (Gewebe)	750 Seiten	25 cm	-	-	-	-	-	Band	22,A13	010; 920	-	-	-	-	-	-
Carl Schlettwein	-	-	Basler Afrika Bibliographien, Namibia Ressource Centre	Basel	2021	-	-	-	-	129 Seiten	20 cm	-	-	-	-	-	Band	22,A13	010; 960; 300	Schlettwein, Carl; Basler Afrika-Bibliographien	016.96	https://d-nb.info/1240925794/04	-	-	-
IBN : Index bio-bibliographicus notorum hominum	-	herausgegeben von Jean-Pierre Lobies, herausgegeben von Otto Zeller und Wolfram Zeller	Dietrich-Verlag; Biblio-Verlag; Zeller Verlag	Osnabrück; Mettingen; Saerbeck	1973	-	9783867710008; 3764807261	-	Zeller : (Gewebe); Biblio-Verl	Bände	26 cm	-	-	Später ediderunt Susanna Wand, M.A., Birgit Westrup M.A	-	-	Band	22,A13	010; 920	Biografie	016.92	-	-	-	-
The music manuscripts at the Diocesan Library in Sandomierz : a thematic catalogue	-	Magdalena Walter-Mazur, Karolina Kaźmierczak, Michał Wysocki	Harrassowitz Verlag	Wiesbaden	2021	-	-	-	-	-	25 cm	-	-	-	-	-	Band	22,A13	020; 780	Biblioteka Diecezjalna w Sandomierz; Musikhandschrift	026.780262	-	-	-	-
The music manuscripts at the Diocesan Library in Sandomierz : Repertoire of church ensemble and keyboard music	-	-	Harrassowitz Verlag	Wiesbaden	2021	-	9783447117166; 3447117168	-	(Festeinband : circa EUR 128.00 (DE) (freier Preis), circa EUR 131.60 (AT) (freier Preis))	LXXVII, 452 Seiten	1424 g	-	-	-	-	-	Band	22,A13; 21,N44	020; 780	-	-	https://d-nb.info/1244424722/04	-	-	-
Archivrecht : ein Leitfaden	-	Jost Hausmann	Verlag für Standesamtswesen	Frankfurt am Main; Berlin	2021	-	9783801906030; 3801906035	2. Auflage	(Broschur : EUR 32.80 (DE), EUR 33.80 (AT))	121 Seiten	24 cm	-	-	-	-	-	Band	22,A13; 21,N32	340; 020	Archivrecht	344.43092	https://d-nb.info/1238262023/04	-	-	-
Bitte eintragen! : die Besucherbücher der Herzog August Bibliothek 1667-2000	-	Hole Rößler und Marie von Lüneburg (Hrsg.)	Herzog August Bibliothek	Wolfenbüttel	2021	-	9783447116640; 3447116641	-	(Festeinband : circa EUR 19.80 (DE), circa EUR 20.40 (AT))	214 Seiten	24 cm, 568 g	-	-	-	-	-	Band	22,A13; 21,N21	020; 920	Herzog August Bibliothek; Benutzer; Historische Persönlichkeit; Berühmte Persönlichkeit; Besucherbuch	027.44359757	https://d-nb.info/1233752332/04	-	-	-
Bibliotheken in München : Schatzhäuser des Wissens - Orte der Begegnung	-	Brigitte Steinert	Volk Verlag	München	2020	-	9783862223633; 3862223639	-	(Festeinband : EUR 20.00 (DE), EUR 20.60 (AT))	208 Seiten	23 cm	-	-	-	-	-	Band	22,A13; 20,N33	020	Bibliothek	020.943364	https://d-nb.info/1215426658/04	-	-	-
Das Walmuseum, das Sie nie besuchen werden : eine Reise nach Island	The museum of whales you will never see	A. Kendra Greene ; aus dem Englischen übersetzt von Stefanie Schäfer	Liebeskind	München	2022	-	9783954381449; 3954381443	Deutsche Erstausgabe	(Halbgewebe : EUR 24.00 (DE), EUR 24.70 (AT))	302 Seiten	19 cm	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A13; 21,N44	060	Museum; Kuriosität	069.094912	https://d-nb.info/1244643246/04	-	-	-
Bilder hängen, Skulpturen stellen	-	Raimer Jochims	Verlag frankfurter edition	Frankfurt am Main	2021	-	9783949412998	-	(Broschur)	57 Seiten	15 x 21 cm	-	-	-	-	-	Band	22,A13	700; 740; 060	Exponat; Präsentation; Malerei; Grafik; Hängung	707.4	https://d-nb.info/1238729169/04	-	-	-
Ausstellungskommunikation : eine linguistische Untersuchung multimodaler Wissenskommunikation im Raum	-	Wolfgang Kesselheim	De Gruyter	Berlin	2021	-	9783110572902; 3110572907	-	(Festeinband : EUR 129.95 (DE), EUR 129.95 (AT))	IX, 555 Seiten	24 cm, 1148 g	-	Reihe Germanistische Linguistik ; 312	-	Erscheint auch als: Online-Ausgabe	Habilitationsschrift; Universität Zürich2015	Band	22,A13; 21,N41	430; 060	Museum; Ausstellung; Wissen; Kommunikation; Deutsch; Textanalyse; Konversationsanalyse	430.18	https://d-nb.info/1242486887/04	-	-	-
Kunstort Historisches Museum Wallerfangen	-	Laboratorium, Institut für aktuelle Kunst im Saarland ; Herausgeber Verein für Heimatforschung Wallerfangen e.V., Rudolf Echt und Peter Winter ; Autorin Oranna Dimmig	Verlag St. Johann	Saarlouis	2021	-	9783982231440; 3982231442	-	(Broschur : EUR 3.00 (DE), EUR 3.10 (AT))	41 Seiten	15 cm	-	Kunstlexikon Saar	-	-	-	Band	22,A13; 21,N12	700; 943; 060	-	-	-	-	-	-
Geh' du voran : ein Jahrhundert	-	Ernst Fettner ; herausgegeben von Jana Waldhör	CLIO	Graz	2021	-	9783902542939; 3902542934	-	(Festeinband : EUR 25.00 (DE), EUR 25.00 (AT))	180 Seiten	27 cm, 1500 g	-	-	-	-	-	Band	22,A13; 21,N27	940; 070	Judenverfolgung; Juden; Flucht; Exil; Alltag; Journalist	940.5318142092	https://d-nb.info/1236359658/04	-	-	-
Spuren des Schreibens : Redakteur, Korrespondent, Autor	-	Robert von Lucius	Wolff Verlag	Berlin	2021	-	9783941461437; 3941461435	-	(Broschur : EUR 17.90 (DE), EUR 18.40 (AT))	265 Seiten	19 cm	-	-	-	-	-	Band	22,A13; 21,N26	070	Lucius, Robert von	070.92	https://d-nb.info/1235876055/04	-	-	-
Verfassungsrechtliche Determination von Informations-und Auskunftsansprüchen der Medien in der Informationsgesellschaft	-	Marcel Wölfle	Nomos	Baden-Baden	2021	-	9783848778218; 3848778211	1. Auflage	(Broschur : circa EUR 90.00 (DE))	306 Seiten	23 cm, 448 g	-	Hamburger Schriften zum Medien-, Urheber- und Telekommunikationsrecht ; Band 17	-	Erscheint auch als: Online-Ausgabe	Dissertation; Goethe-Universität Frankfurt am Main2020	Band	22,A13; 21,N07	340; 070	Presse; Elektronische Publikation; Auskunftsanspruch; Behörde; Informationsfreiheit; Pressefreiheit	342.430853	https://d-nb.info/1226874444/04	http://deposit.dnb.de/cgi-bin/dokserv?id=1e5a4c055c374e308c5b8543dc4084e4&prov=M&dok_var=1&dok_ext=htm	-	-
Echtzeit : Aphorismen : mit einem Essay über Nicolás Gómez Dávila	-	Detlev Piltz	Bouvier	Bonn	2021	-	9783416040808; 3416040805	-	(Broschur : EUR 28.00 (DE), EUR 28.80 (AT))	334 Seiten	21 cm, 450 g	-	-	-	-	-	Band	22,A13	080	-	-	https://d-nb.info/1231649968/04	-	-	-
Vom Hirnrümpfen : neue Denkzettel : WiderSpruchKarten	-	Jürgen Wilbert ; Fotos von Rainald Hüwe	Edition Virgines	Düsseldorf	2021	-	9783948229313; 3948229317	1. Auflage	(Spiralbindung : EUR 19.90 (DE), EUR 20.50 (AT))	circa 150 Seiten, 45 Seiten	10 x 16 cm, 1000 g	-	-	-	-	-	Band	22,A13; 21,N44	080	-	-	-	-	-	-
Verrutschte Bilder : eine Sammlung verunglückter metaphorischer Äußerungen	-	Wolfgang Luutz	Engelsdorfer Verlag	Leipzig	2021	-	9783969402047; 3969402042	-	(Broschur : EUR 10.00 (DE), EUR 10.30 (AT))	133 Seiten	21 cm	-	-	-	-	-	Band	22,A13; 21,N36	080	-	-	-	-	-	-
Gedanken sind sprachlos : eine Denkzettelsammlung mit Aphorismen, Epigramme u.a	-	Erhard H. Bellermann	Engelsdorfer Verlag	Leipzig	2021	-	9783969401774; 3969401771	-	(Broschur : EUR 13.30 (DE), EUR 13.70 (AT))	195 Seiten	18 cm	-	-	-	-	-	Band	22,A13; 21,N27	080	-	-	https://d-nb.info/1236478002/04	-	-	-
Marmor, Gold und Edelsteine : Materialimitation in der karolingischen Buchmalerei	Marmor, Gold und Edelstein	Ilka Mestemacher	De Gruyter	Berlin	2021	-	9783110710779; 3110710773	-	(Festeinband : EUR 79.95 (DE), EUR 79.95 (AT))	392 Seiten	25 cm, 1102 g	-	Naturbilder ; Band 11	-	Erscheint auch als: Online-Ausgabe	Dissertation; Universität Hamburg2018	Band	22,A13; 20,N50	740; 090; 230	Karl; Illuminierte Handschrift; Marmor; Edelstein; Naturnachahmung; Hofschule Karls des Großen	745.670943551109021	https://d-nb.info/1222606852/04	-	-	-
Ethische Kernthemen : lebensweltlich – theologisch-ethisch – didaktisch	-	-	Vandenhoeck & Ruprecht	Göttingen	2022	-	9783525624494; 3525624492	Neuausgabe. 3., komplett neu erarbeitete Auflage	(Broschur : EUR 35.00 (DE), EUR 36.00 (AT))	496 Seiten	23 cm, 827 g	-	Theologie für Lehrerinnen und Lehrer ; 4	-	-	-	Band	22,A13; 22,N02	230; 370; 100	Christliche Ethik; Evangelischer Religionsunterricht	241.0712	https://d-nb.info/124901896X/04	-	-	-
Apokalypse, Messianismus, Hoffnung : zur Bedeutung der Religionen in der Philosophie von Ernst Bloch	-	herausgegeben von Francesca Vidal ; unter Mitarbeit von Manuel Theophil	Königshausen & Neumann	Würzburg	2022	-	9783826075414; 3826075412	-	(Broschur : EUR 24.00 (DE), EUR 24.70 (AT))	176 Seiten	23 cm	-	Jahrbuch der Ernst-Bloch-Gesellschaft ; 2020/2021	-	-	-	Band	22,A13; 22,N01	200; 100	Bloch, Ernst; Religionsphilosophie	210.92	https://d-nb.info/1248414233/04	-	-	-
Erfahrung der Zeit : 1350-1600	-	Christian Kiening	Wallstein Verlag	Göttingen	2022	-	9783835351240; 3835351249	-	(Festeinband : circa EUR 29.90 (DE), circa EUR 30.80 (AT))	334 Seiten	23 cm, 607 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A13; 21,N48	830; 100	Frühneuhochdeutsch; Literatur; Zeitwahrnehmung	830.933	https://d-nb.info/1246465507/04	http://deposit.dnb.de/cgi-bin/dokserv?id=417c39e2c0c6442393ca0589ae6a5c7b&prov=M&dok_var=1&dok_ext=htm	-	-
Sehnsucht leben : Erfahrungen und Konzepte	-	Gerhard Marcel Martin	Verlag W. Kohlhammer	Stuttgart	2022	-	9783170420267; 3170420267	1. Auflage	(Broschur : circa EUR 19.00 (DE), circa EUR 19.60 (AT))	131 Seiten	21 cm, 167 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A13; 21,N48	230; 100	Sehnsucht; Spiritualität; Theologie; Kultur	248	https://d-nb.info/1246385848/04	-	-	-
Die Lehre des Buddha über die Liebe	Teachings on love	Thich Nhat Hanh ; aus dem amerikanischen Englisch von Karen Siebert und Ursula Richard	O.W. Barth	München	2022	-	9783426293201; 342629320X	Neuausgabe	(Festeinband : EUR 18.00 (DE), EUR 18.50 (AT))	207 Seiten	21 cm, 321 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A13; 21,N45	290; 100	Liebe; Buddhismus	294.35	https://d-nb.info/1244939374/04	http://deposit.dnb.de/cgi-bin/dokserv?id=42992839d7d74a07a33b9f2f00d6089c&prov=M&dok_var=1&dok_ext=htm	-	-
Der Sinn des Sinns : Versuch über das Göttliche	Der Sinn des Sinns	Volker Gerhardt	C.H. Beck	München	2022	-	9783406784613; 3406784615	1. Auflage	(Broschur : circa EUR 16.95 (DE))	357 Seiten	20 cm, 361 g	-	C.H. Beck Paperback ; 6461	-	-	-	Band	22,A13; 21,N44	200; 100	Das Göttliche; Wissen; Rationalität; Sinnfindung; Christliche Philosophie	212	https://d-nb.info/1244537969/04	http://deposit.dnb.de/cgi-bin/dokserv?id=ae526a7745a64fd5a7700f82538d43bc&prov=M&dok_var=1&dok_ext=htm	-	-
Theodizee : eine theologische Herausforderung	-	Christian Link	Vandenhoeck & Ruprecht	Göttingen	2022	-	9783525552919; 3525552912	2., ergänzte Auflage	(Festeinband : EUR 35.00 (DE), EUR 28.00 (DE) (Sonderpreis: Serienpreis (Fortsetzung)), EUR 36.00 (AT), EUR 29.00 (AT) (Sonderpreis: Serienpreis (Fortsetzung)))	340 Seiten	20 cm, 452 g	-	Theologische Bibliothek ; Band 3	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A13; 21,N42	230; 100	Theodizee; Philosophie; Evangelische Theologie	231.8	https://d-nb.info/1243102314/04	-	-	-
From protology to eschatology : competing views on the origin and the end of the cosmos in Platonism and Christian thought	-	edited by Joseph Verheyden, Geert Roskam, and Gerd Van Riel	Mohr Siebeck	Tübingen	2022	-	9783161610097; 3161610091	-	(Broschur : circa EUR 80.00 (DE))	VIII, 262 Seiten	24 cm, 412 g	-	Studien und Texte zu Antike und Christentum ; 130	International conference From Protology to Eschatology and Back Again. Views on the Origin and the End of the Cosmos in Platonism and Christian Thought (07.06.-09.06.2017, Leuven)	Erscheint auch als: Online-Ausgabe	-	Band	22,A13; 21,N40	230; 100; 520	Kosmologie; Protologie; Eschatologie; Platonismus; Frühchristentum; Christliche Philosophie	231.765; 133.0901	https://d-nb.info/1242286330/04	http://deposit.dnb.de/cgi-bin/dokserv?id=daa230f640494365b684ab9897329fda&prov=M&dok_var=1&dok_ext=htm	-	-
Vegane Ernährung für Einsteiger : das wichtigste Basiswissen und schnelle Rezepte	-	Sebastian Copien & Niko Rittenau	Dorling Kindersley Verlag GmbH	München	2022	-	9783831043255; 3831043256	-	(Festeinband : EUR 19.95 (DE), EUR 20.60 (AT))	271 Seiten	25 cm, 1016 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	22,A13; 21,N18	640; 610; 100	-	-	https://d-nb.info/123234186X/04	http://deposit.dnb.de/cgi-bin/dokserv?id=6269430199354457b6a267bc4a782df6&prov=M&dok_var=1&dok_ext=htm	-	-
